Name,No
Acorn Heart,61
Bataroo Egg,467
Bataroo Egg,549
Belt & Straps,131
Black Granite,555
Blade of Doom,475
Blood Bauble,495
Bloody Gorget,504
Blue Granite,550
Bori Log Raft,100
Bramble Dart,508
Butchers Cleaver,206
Cat Antlers,207
Catapult of Doom,471
Dagger of Doom,472
Damaged Red Iron Shield,439
Dark Scourge,72
Dark Throwing Star,97
Death-Eagle Mask,491
Death-God Orb,493
Death-God Shield,501
Death-Serpent Mask,492
Deja Voodoo Elixir,84
Demon Hide,513
Elixir of Health,170
Elixir of Life,265
Elixir of Mana,171
Elixir of Might,67
Elixir of Night-Sight,167
Elixir of Nimbleness,69
Elixir of Restoration,466
Elven Cloak,321
Elven Rope,27
Emerald Ring,198
Enchanted Mirror,459
Exorcist Rod,506
Exploding Bolt,105
Extra Large Sack,29
Extra Sharp Claymore,480
Eye of Terror,163
Faceless Mask,490
Falling Star,514
Fancy Rapier,94
Feather Cape,208
Featherweight Boots,211
Fine Mace,106
Fine Scale Armour,443
Fine Silk Ribbon,351
Fire Bolt,104
Fire Bomb,274
Fire Salt,371
Fishing Net,35
Flame Shield,330
Flail,78
Flash-Bang,275
Flint & Tinder,34
Flower Necklace,20
Flower of Life,553
Flute,36
Frost Axe,320
Frost-Fire Blade,474
Fungal Spore,141
Garland of Flowers,19
Garnet Amulet,197
Gator Scale,143
Gatorskin Vest,110
Gauze,64
Ghost Dust,503
Ghouls Claws,162
Giant Boar Tusk,142
Giant Snail Shell,148
Giant Spider Eye,144
Giant Spider Leg,145
Gilded Halberd,457
Giraffe Hide,14
Glad-Eye Charm,118
Glass Eye,219
Gold Ingot,218
Gold Key,452
Gold-plated Gauntlets,394
Gold-plated Greaves,395
Gold-plated Helm,393
Gold-plated Shield,396
Golden Apple,554
Golden Fleece,556
Golden Skull,367
Goofle Egg,469
Gorgon Hair,236
Granite Armour,108
Granite Club,5
Great Axe,79
Green Granite,551
Green Iron Helm,406
Grey Granite,558
Grip-Vine,509
Grounding Stone,462
Gryphon Talon,234
Guardians Gauntlets,334
Guardians Greaves,335
Guardians Helm,333
Guardians Plate,332
Guardians Shield,336
Guiding Light,258
Hairpin of the Goddess,369
Half-Plate Armour,308
Hammer of Justice,478
Handaxe,70
Hardbread,24
Harp,37
Heart of Stone,224
Heavy Armour,309
Hell-Bat Wing,230
Hell-Fire Brand,473
Herb-Grinder,63
Hoe,52
Holy Grail,451
Holy Symbol,505
Holy Water,502
Horn of Plenty,461
Hornet Sting,146
Hunting Bow,80
Ice Bolt,496
Imperial Sceptre,386
Indestructible Armour,328
Iron Armour,307
Iron Bolt,103
Iron Ingot,130
Iron Key,221
Iron Ore,129
Iron Pick,51
Iron Rod,128
Ivory Iron Greaves,428
Ivory Iron Helm,408
Jagged Blade,481
Jade Brooch,202
Jade Ring,203
Jester Mask,254
Jewelled Belt,209
Jewelled Crown,387
Jewelled Dagger,95
Jewelled Scabbard,210
Kangaroo Hide,15
Kangaroo Tail,113
Kangaroo-Skin Cloak,109
Kicking Boots,90
Kingfisher Plume,160
Kings Armour,392
Kings Cape,388
Large Sack,28
Leather Gauntlets,136
Leather Thong,6
Leg-Hold Trap,111
Lightning Bolt,497
Lion Skin,140
Lobster Claw,126
Locket of Lost Souls,494
Longbow,81
Lucky Charm,11
Mace,82
Magic Wand,261
Mandrake Root,158
Mantrap,222
Map Case,31
Marble Statue,389
Mashed Turnip,251
Master-Key,470
Maul,83
Meat-Cleaver,50
Medallion of Honour,384
Medical Bag,62
Mental Elixir,68
Mercenary Badge,220
Midnight Rose,552
Minotaur Horn,229
Morning Star,85
Net,7
Night-Fire Fly,225
Night-Shade,240
Noble Tunic,255
Normal Sack,463
Nutcracker,250
Oak Staff,10
Obsidian Plate Armour,322
Obsidian Shield,324
Obsidian Sword,323
Octopus Tentacle,125
Opal Ring,199
Ostrich Feather,23
Ostrich Hide,11
Ox-Blood,243
Paddle,44
Padded Armour,440
Paint Brush,214
Painting of a Landscape,213
Painted Shield,115
Parchment,30
Partisan,86
Pelt,12
Pendulum of Truth,259
Philosophers Stone,260
Phoenix Feather,378
Pick-Axe,51
Pig-Iron Plate,337
Pipe Weed,41
Pitchfork,53
Plate Armour,444
Platypus Bill,114
Poison Arrow,272
Poison Bolt,498
Poison Dart,9
Poison Gland,124
Poison Smoke Bottle,271
Pole-Axe,88
Pot of Gold,217
Pouch of Gems,200
Pouch of Pixie Dust,238
Pouch of Salt,26
Pronged Fork,248
Purple Granite,557
Quarterstaff,92
