No,Name
61,Acorn Heart
266,Amulet of Protection
377,Ancient Iron Spike
370,Ancient Silver Spike
479,Ancient War Sword
458,Antlered Helm
464,Armour Wax
235,Armoured Dragon Scale
233,Axebeak Beak
276,Azure Smoke Bottle
127,Ballyhoo Scale
441,Banded Iron Armour
71,Bardiche
107,Barkbrute Armour
147,Barkbrute Skin
73,Bastard Sword
467,Bataroo Egg
549,Bataroo Egg
257,Battle Grease
453,Beak Axe
157,Belly Baub
131,Belt & Straps
119,Bigschnozz Charm
228,Billabob Bill
455,Billabob Dagger
38,Bird Trap
89,Bit Coin
134,Black Arrow
132,Black Arrow Shaft
133,Black Arrowhead
354,Black Ball
87,Black Cave Spore
555,Black Granite
412,Black Iron Gauntlets
422,Black Iron Greaves
402,Black Iron Helm
432,Black Iron Shield
17,Black Lotus Leaf*P:
460,Black Lotus Tar
32,Black Pack Rowt Lens
120,Blackbone Ring
475,Blade of Doom
39,Bloated Onion
495,Blood Bauble
166,Blood Mite Eye
242,Blood Thorn
504,Bloody Gorget
239,Bloody Shirt
1,Blow Pipe
550,Blue Granite
414,Blue Iron Gauntlets
424,Blue Iron Greaves
404,Blue Iron Helm
434,Blue Iron Shield
450,Bodden Ring Statue
117,Bolotamus Muscle
135,Bone Collar
237,Bone Toothpick
100,Bori Log Raft
18,Bori Logs
65,Bow String
508,Bramble Dart
193,Brass Amulet
192,Brass Ring
66,Brawn Elixir
101,Broadsword
77,Bronze Scimitar
206,Butchers Cleaver
40,Calabash Pipe
454,Carbuncle Helm
231,Carbuncle Shell
164,Carrion Talon
4,Carved Club
207,Cat Antlers
471,Catapult of Doom
76,Cavalry Sabre
161,Cave-Pecker Feather
212,Chaser Plate
216,Chaser Plate Armour
137,Cheesmo Pouch
241,Clump of Ock Fuzz
25,Coconut
165,Copper Ingot
102,Crab Buckler
138,Crab Exoscale
368,Crimson Chalice
189,Crobbler Skin
3,Crude Spear
262,Crystal Ball
223,Crystal Claw
468,Crystal-tipped Whip
93,Curved Machete
13,Dactyl Hide
8,Dactyl Whip
472,Dagger of Doom
411,Damaged Black Iron Gauntlets
421,Damaged Black Iron Greaves
401,Damaged Black Iron Helm
431,Damaged Black Iron Shield
413,Damaged Blue Iron Gauntlets
423,Damaged Blue Iron Greaves
403,Damaged Blue Iron Helm
433,Damaged Blue Iron Shield
415,Damaged Green Iron Gauntlets
425,Damaged Green Iron Greaves
405,Damaged Green Iron Helm
435,Damaged Green Iron Shield
348,Damaged Heavy Iron Shield
342,Damaged Iron Dagger
344,Damaged Iron Gauntlets
345,Damaged Iron Greaves
343,Damaged Iron Helm
341,Damaged Iron Knife
346,Damaged Iron Shield
417,Damaged Ivory Iron Gauntlets
427,Damaged Ivory Iron Greaves
407,Damaged Ivory Iron Helm
437,Damaged Ivory Iron Shield
347,Damaged Large Iron Shield
419,Damaged Red Iron Gauntlets
429,Damaged Red Iron Greaves
409,Damaged Red Iron Helm
439,Damaged Red Iron Shield
312,Damaged Silver Dagger
314,Damaged Silver Gauntlets
315,Damaged Silver Greaves
313,Damaged Silver Helm
311,Damaged Silver Knife
59,Dark Lance
72,Dark Scourge
319,Dark Sword
97,Dark Throwing Star
491,Death-Eagle Mask
493,Death-God Orb
501,Death-God Shield
492,Death-Serpent Mask
84,Deja Voodoo Elixir
139,Demon Condor Feather
513,Demon Hide
256,Designer Tunic
184,Detect Above Ground Places Scroll
156,Detect Caches Scroll
181,Detect Creatures Scroll
169,Detect Dark Places Scroll
188,Detect Ghosts Scroll
172,Detect Items Scroll
177,Detect Mounts Scroll
168,Detect Natural Hazards Scroll
